Employment-Based,All_Chargeability_Except_Listed,INDIA,MEXICO,PHILIPPINES,CHINA-MAINLAND,DOMINICAN REPUBLIC,EL SALVADOR  GUATEMALA  HONDURAS,VIETNAM,time
4th,C,C,C,C,C,C,C,C,2002-05-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2002-05-01
5th,C,C,C,C,C,C,C,C,2002-05-01
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2002-05-01
1st,C,C,C,C,C,C,C,C,2002-06-01
2nd,C,C,C,C,C,C,C,C,2002-06-01
3rd,C,C,C,C,C,C,C,C,2002-06-01
Other Workers,C,C,C,C,C,C,C,C,2002-06-01
4th,C,C,C,C,C,C,C,C,2002-06-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2002-06-01
5th,C,C,C,C,C,C,C,C,2002-06-01
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2002-06-01
1st,C,C,C,C,C,C,C,C,2002-07-01
2nd,C,C,C,C,C,C,C,C,2002-07-01
3rd,C,C,C,C,C,C,C,C,2002-07-01
Other Workers,C,C,C,C,C,C,C,C,2002-07-01
4th,C,C,C,C,C,C,C,C,2002-07-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2002-07-01
5th,C,C,C,C,C,C,C,C,2002-07-01
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2002-07-01
1st,C,C,C,C,C,C,C,C,2002-08-01
2nd,C,C,C,C,C,C,C,C,2002-08-01
3rd,C,C,C,C,C,C,C,C,2002-08-01
Other Workers,C,C,C,C,C,C,C,C,2002-08-01
4th,C,C,C,C,C,C,C,C,2002-08-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2002-08-01
5th,C,C,C,C,C,C,C,C,2002-08-01
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2002-08-01
1st,C,C,C,C,C,C,C,C,2002-09-01
2nd,C,C,C,C,C,C,C,C,2002-09-01
3rd,C,C,C,C,C,C,C,C,2002-09-01
Other Workers,C,C,C,C,C,C,C,C,2002-09-01
4th,C,C,C,C,C,C,C,C,2002-09-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2002-09-01
5th,C,C,C,C,C,C,C,C,2002-09-01
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2002-09-01
1st,C,C,C,C,C,C,C,C,2002-10-01
2nd,C,C,C,C,C,C,C,C,2002-10-01
3rd,C,C,C,C,C,C,C,C,2002-10-01
Other Workers,C,C,C,C,C,C,C,C,2002-10-01
4th,C,C,C,C,C,C,C,C,2002-10-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2002-10-01
5th,C,C,C,C,C,C,C,C,2002-10-01
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2002-10-01
1st,C,C,C,C,C,C,C,C,2002-11-01
2nd,C,C,C,C,C,C,C,C,2002-11-01
3rd,C,C,C,C,C,C,C,C,2002-11-01
Other Workers,C,C,C,C,C,C,C,C,2002-11-01
4th,C,C,C,C,C,C,C,C,2002-11-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2002-11-01
5th,C,C,C,C,C,C,C,C,2002-11-01
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2002-11-01
1st,C,C,C,C,C,C,C,C,2002-12-01
2nd,C,C,C,C,C,C,C,C,2002-12-01
3rd,C,C,C,C,C,C,C,C,2002-12-01
Other Workers,C,C,C,C,C,C,C,C,2002-12-01
4th,C,C,C,C,C,C,C,C,2002-12-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2002-12-01
5th,C,C,C,C,C,C,C,C,2002-12-01
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2002-12-01
1st,C,C,C,C,C,C,C,C,2003-01-01
2nd,C,C,C,C,C,C,C,C,2003-01-01
3rd,C,C,C,C,C,C,C,C,2003-01-01
Other Workers,C,C,C,C,C,C,C,C,2003-01-01
4th,C,C,C,C,C,C,C,C,2003-01-01
5th,C,C,C,C,C,C,C,C,2003-01-01
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2003-01-01
1st,C,C,C,C,C,C,C,C,2003-02-01
2nd,C,C,C,C,C,C,C,C,2003-02-01
3rd,C,C,C,C,C,C,C,C,2003-02-01
Other Workers,C,C,C,C,C,C,C,C,2003-02-01
4th,C,C,C,C,C,C,C,C,2003-02-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2003-02-01
5th,C,C,C,C,C,C,C,C,2003-02-01
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2003-02-01
1st,C,C,C,C,C,C,C,C,2003-03-01
2nd,C,C,C,C,C,C,C,C,2003-03-01
3rd,C,C,C,C,C,C,C,C,2003-03-01
Other Workers,C,C,C,C,C,C,C,C,2003-03-01
4th,C,C,C,C,C,C,C,C,2003-03-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2003-03-01
5th,C,C,C,C,C,C,C,C,2003-03-01
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2003-03-01
Employment-Based,C,C,C,C,C,C,C,C,2003-04-01
1st,C,C,C,C,C,C,C,C,2003-04-01
2nd,C,C,C,C,C,C,C,C,2003-04-01
3rd,C,C,C,C,C,C,C,C,2003-04-01
Other Workers,C,C,C,C,C,C,C,C,2003-04-01
4th,C,C,C,C,C,C,C,C,2003-04-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2003-04-01
5th,C,C,C,C,C,C,C,C,2003-04-01
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2003-04-01
1st,C,C,C,C,C,C,C,C,2003-05-01
2nd,C,C,C,C,C,C,C,C,2003-05-01
3rd,C,C,C,C,C,C,C,C,2003-05-01
Other Workers,C,C,C,C,C,C,C,C,2003-05-01
4th,C,C,C,C,C,C,C,C,2003-05-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2003-05-01
5th,C,C,C,C,C,C,C,C,2003-05-01
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2003-05-01
1st,C,C,C,C,C,C,C,C,2003-06-01
2nd,C,C,C,C,C,C,C,C,2003-06-01
3rd,C,C,C,C,C,C,C,C,2003-06-01
Other Workers,C,C,C,C,C,C,C,C,2003-06-01
4th,C,C,C,C,C,C,C,C,2003-06-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2003-06-01
5th,C,C,C,C,C,C,C,C,2003-06-01
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2003-06-01
1st,C,C,C,C,C,C,C,C,2003-07-01
2nd,C,C,C,C,C,C,C,C,2003-07-01
3rd,C,C,C,C,C,C,C,C,2003-07-01
Other Workers,C,C,C,C,C,C,C,C,2003-07-01
4th,C,C,C,C,C,C,C,C,2003-07-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2003-07-01
5th,C,C,C,C,C,C,C,C,2003-07-01
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2003-07-01
1st,C,C,C,C,C,C,C,C,2003-08-01
2nd,C,C,C,C,C,C,C,C,2003-08-01
3rd,C,C,C,C,C,C,C,C,2003-08-01
Other Workers,C,C,C,C,C,C,C,C,2003-08-01
4th,C,C,C,C,C,C,C,C,2003-08-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2003-08-01
5th,C,C,C,C,C,C,C,C,2003-08-01
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2003-08-01
1st,C,C,C,C,C,C,C,C,2003-09-01
2nd,C,C,C,C,C,C,C,C,2003-09-01
3rd,C,C,C,C,C,C,C,C,2003-09-01
Other Workers,C,C,C,C,C,C,C,C,2003-09-01
4th,C,C,C,C,C,C,C,C,2003-09-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2003-09-01
5th,C,C,C,C,C,C,C,C,2003-09-01
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2003-09-01
1st,C,C,C,C,C,C,C,C,2003-10-01
2nd,C,C,C,C,C,C,C,C,2003-10-01
3rd,C,C,C,C,C,C,C,C,2003-10-01
Other Workers,C,C,C,C,C,C,C,C,2003-10-01
4th,C,C,C,C,C,C,C,C,2003-10-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2003-10-01
5th,C,C,C,C,C,C,C,C,2003-10-01
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2003-10-01
1st,C,C,C,C,C,C,C,C,2003-11-01
2nd,C,C,C,C,C,C,C,C,2003-11-01
3rd,C,C,C,C,C,C,C,C,2003-11-01
Other Workers,C,C,C,C,C,C,C,C,2003-11-01
4th,C,C,C,C,C,C,C,C,2003-11-01
5th,C,C,C,C,C,C,C,C,2003-11-01
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2003-11-01
1st,C,C,C,C,C,C,C,C,2003-12-01
2nd,C,C,C,C,C,C,C,C,2003-12-01
3rd,C,C,C,C,C,C,C,C,2003-12-01
Other Workers,C,C,C,C,C,C,C,C,2003-12-01
4th,C,C,C,C,C,C,C,C,2003-12-01
Certain Religious  Workers,C,C,C,C,C,C,C,C,2003-12-01
5th,C,C,C,C,C,C,C,C,2003-12-01
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2003-12-01
1st,C,C,C,C,C,C,C,C,2004-01-01
2nd,C,C,C,C,C,C,C,C,2004-01-01
3rd,C,C,C,C,C,C,C,C,2004-01-01
Other Workers,C,C,C,C,C,C,C,C,2004-01-01
4th,C,C,C,C,C,C,C,C,2004-01-01
Certain Religious  Workers,C,C,C,C,C,C,C,C,2004-01-01
5th,C,C,C,C,C,C,C,C,2004-01-01
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2004-01-01
1st,C,C,C,C,C,C,C,C,2004-02-01
2nd,C,C,C,C,C,C,C,C,2004-02-01
3rd,C,C,C,C,C,C,C,C,2004-02-01
Other Workers,C,C,C,C,C,C,C,C,2004-02-01
4th,C,C,C,C,C,C,C,C,2004-02-01
Certain Religious  Workers,C,C,C,C,C,C,C,C,2004-02-01
5th,C,C,C,C,C,C,C,C,2004-02-01
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2004-02-01
1st,C,C,C,C,C,C,C,C,2004-03-01
2nd,C,C,C,C,C,C,C,C,2004-03-01
3rd,C,C,C,C,C,C,C,C,2004-03-01
Other Workers,C,C,C,C,C,C,C,C,2004-03-01
4th,C,C,C,C,C,C,C,C,2004-03-01
Certain Religious  Workers,C,C,C,C,C,C,C,C,2004-03-01
5th,C,C,C,C,C,C,C,C,2004-03-01
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2004-03-01
1st,C,C,C,C,C,C,C,C,2004-04-01
2nd,C,C,C,C,C,C,C,C,2004-04-01
3rd,C,C,C,C,C,C,C,C,2004-04-01
Other Workers,C,C,C,C,C,C,C,C,2004-04-01
4th,C,C,C,C,C,C,C,C,2004-04-01
Certain Religious  Workers,C,C,C,C,C,C,C,C,2004-04-01
5th,C,C,C,C,C,C,C,C,2004-04-01
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2004-04-01
1st,C,C,C,C,C,C,C,C,2004-05-01
2nd,C,C,C,C,C,C,C,C,2004-05-01
3rd,C,C,C,C,C,C,C,C,2004-05-01
Other Workers,C,C,C,C,C,C,C,C,2004-05-01
4th,C,C,C,C,C,C,C,C,2004-05-01
Certain Religiuos  Workers,C,C,C,C,C,C,C,C,2004-05-01
5th,C,C,C,C,C,C,C,C,2004-05-01
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2004-05-01
1st,C,C,C,C,C,C,C,C,2004-06-01
2nd,C,C,C,C,C,C,C,C,2004-06-01
3rd,C,C,C,C,C,C,C,C,2004-06-01
Other Workers,C,C,C,C,C,C,C,C,2004-06-01
4th,C,C,C,C,C,C,C,C,2004-06-01
Certain Religious  Workers,C,C,C,C,C,C,C,C,2004-06-01
5th,C,C,C,C,C,C,C,C,2004-06-01
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2004-06-01
1st,C,C,C,C,C,C,C,C,2004-07-01
2nd,C,C,C,C,C,C,C,C,2004-07-01
3rd,C,C,C,C,C,C,C,C,2004-07-01
Other Workers,C,C,C,C,C,C,C,C,2004-07-01
4th,C,C,C,C,C,C,C,C,2004-07-01
Certain Religious  Workers,C,C,C,C,C,C,C,C,2004-07-01
5th,C,C,C,C,C,C,C,C,2004-07-01
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2004-07-01
1st,C,C,C,C,C,C,C,C,2004-08-01
2nd,C,C,C,C,C,C,C,C,2004-08-01
3rd,C,C,C,C,C,C,C,C,2004-08-01
Other Workers,C,C,C,C,C,C,C,C,2004-08-01
4th,C,C,C,C,C,C,C,C,2004-08-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2004-08-01
5th,C,C,C,C,C,C,C,C,2004-08-01
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2004-08-01
1st,C,C,C,C,C,C,C,C,2004-09-01
2nd,C,C,C,C,C,C,C,C,2004-09-01
3rd,C,C,C,C,C,C,C,C,2004-09-01
Other Workers,C,C,C,C,C,C,C,C,2004-09-01
4th,C,C,C,C,C,C,C,C,2004-09-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2004-09-01
5th,C,C,C,C,C,C,C,C,2004-09-01
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2004-09-01
1st,C,C,C,C,C,C,C,C,2004-10-01
2nd,C,C,C,C,C,C,C,C,2004-10-01
3rd,C,C,C,C,C,C,C,C,2004-10-01
Other Workers,C,C,C,C,C,C,C,C,2004-10-01
4th,C,C,C,C,C,C,C,C,2004-10-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2004-10-01
5th,C,C,C,C,C,C,C,C,2004-10-01
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2004-10-01
1st,C,C,C,C,C,C,C,C,2004-11-01
2nd,C,C,C,C,C,C,C,C,2004-11-01
3rd,C,C,C,C,C,C,C,C,2004-11-01
Other Workers,C,C,C,C,C,C,C,C,2004-11-01
4th,C,C,C,C,C,C,C,C,2004-11-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2004-11-01
5th,C,C,C,C,C,C,C,C,2004-11-01
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2004-11-01
1st,C,C,C,C,C,C,C,C,2004-12-01
2nd,C,C,C,C,C,C,C,C,2004-12-01
3rd,C,C,C,C,C,C,C,C,2004-12-01
Other Workers,C,C,C,C,C,C,C,C,2004-12-01
4th,C,C,C,C,C,C,C,C,2004-12-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2004-12-01
5th,C,C,C,C,C,C,C,C,2004-12-01
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2004-12-01
1st,C,C,C,C,C,C,C,C,2005-01-01
2nd,C,C,C,C,C,C,C,C,2005-01-01
3rd,C,01JAN02,C,01JAN02,01JAN02,C,C,C,2005-01-01
Other Workers,C,C,C,C,C,C,C,C,2005-01-01
4th,C,C,C,C,C,C,C,C,2005-01-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2005-01-01
5th,C,C,C,C,C,C,C,C,2005-01-01
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2005-01-01
1st,C,C,C,C,C,C,C,C,2005-02-01
2nd,C,C,C,C,C,C,C,C,2005-02-01
3rd,C,01JAN02,C,01JAN02,01JAN02,C,C,C,2005-02-01
Other Workers,C,C,C,C,C,C,C,C,2005-02-01
4th,C,C,C,C,C,C,C,C,2005-02-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2005-02-01
5th,C,C,C,C,C,C,C,C,2005-02-01
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2005-02-01
1st,C,C,C,C,C,C,C,C,2005-03-01
2nd,C,C,C,C,C,C,C,C,2005-03-01
3rd,C,01MAR02,C,01MAR02,01MAR02,C,C,C,2005-03-01
Other Workers,01JUL01,01JUL01,01JUL01,01JUL01,01JUL01,C,C,C,2005-03-01
4th,C,C,C,C,C,C,C,C,2005-03-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2005-03-01
5th,C,C,C,C,C,C,C,C,2005-03-01
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2005-03-01
1st,C,C,C,C,C,C,C,C,2005-04-01
2nd,C,C,C,C,C,C,C,C,2005-04-01
3rd,C,01APR02,C,01APR02,01APR02,C,C,C,2005-04-01
Other Workers,01JUL01,01JUL01,01JUL01,01JUL01,01JUL01,C,C,C,2005-04-01
4th,C,C,C,C,C,C,C,C,2005-04-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2005-04-01
5th,C,C,C,C,C,C,C,C,2005-04-01
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2005-04-01
1st,C,C,C,C,C,C,C,C,2005-05-01
2nd,C,C,C,C,C,C,C,C,2005-05-01
3rd,C,01JUN02,C,01JUN02,01JUN02,C,C,C,2005-05-01
Other Workers,01JUL01,01JUL01,01JUL01,01JUL01,01JUL01,C,C,C,2005-05-01
4th,C,C,C,C,C,C,C,C,2005-05-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2005-05-01
5th,C,C,C,C,C,C,C,C,2005-05-01
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2005-05-01
1st,C,C,C,C,C,C,C,C,2005-06-01
2nd,C,C,C,C,C,C,C,C,2005-06-01
3rd,C,01JUN02,C,01JUN02,01JUN02,C,C,C,2005-06-01
Schedule A Workers,C,C,C,C,C,C,C,C,2005-06-01
Other Workers,01JAN99,01JAN99,01JAN99,01JAN99,01JAN99,C,C,C,2005-06-01
4th,C,C,C,C,C,C,C,C,2005-06-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2005-06-01
5th,C,C,C,C,C,C,C,C,2005-06-01
Targeted Employment Areas /  Regional Centers,C,C,C,C,C,C,C,C,2005-06-01
1st,C,C,C,C,C,C,C,C,2005-07-01
2nd,C,C,C,C,C,C,C,C,2005-07-01
3rd,U,U,U,U,U,C,C,C,2005-07-01
Schedule A Workers,C,C,C,C,C,C,C,C,2005-07-01
Other Workers,U,U,U,U,U,C,C,C,2005-07-01
4th,C,C,C,C,C,C,C,C,2005-07-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2005-07-01
5th,C,C,C,C,C,C,C,C,2005-07-01
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2005-07-01
1st,C,C,C,C,C,C,C,C,2005-08-01
2nd,C,C,C,C,C,C,C,C,2005-08-01
3rd,U,U,U,U,U,C,C,C,2005-08-01
Schedule A  Workers,C,C,C,C,C,C,C,C,2005-08-01
Other Workers,U,U,U,U,U,C,C,C,2005-08-01
4th,C,C,C,C,C,C,C,C,2005-08-01
Certain Religious  Workers,C,C,C,C,C,C,C,C,2005-08-01
5th,C,C,C,C,C,C,C,C,2005-08-01
Targeted Employ-  ment Areas/  Regional Centers,C,C,C,C,C,C,C,C,2005-08-01
1st,C,C,C,C,C,C,C,C,2005-09-01
2nd,C,C,C,C,C,C,C,C,2005-09-01
3rd,U,U,U,U,U,C,C,C,2005-09-01
Schedule A Workers,C,C,C,C,C,C,C,C,2005-09-01
Other Workers,U,U,U,U,U,C,C,C,2005-09-01
4th,C,C,C,C,C,C,C,C,2005-09-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2005-09-01
5th,C,C,C,C,C,C,C,C,2005-09-01
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2005-09-01
1st,C,01AUG02,C,C,01JAN00,C,C,C,2005-10-01
2nd,C,01NOV99,C,C,01MAY00,C,C,C,2005-10-01
3rd,01MAR01,01JAN98,01JAN01,01MAR01,01MAY00,C,C,C,2005-10-01
Schedule A Workers,C,C,C,C,C,C,C,C,2005-10-01
Other Workers,01OCT00,01OCT00,01OCT00,01OCT00,01OCT00,C,C,C,2005-10-01
4th,C,C,C,C,C,C,C,C,2005-10-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2005-10-01
5th,C,C,C,C,C,C,C,C,2005-10-01
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2005-10-01
1st,C,01AUG02,C,C,01JAN00,C,C,C,2005-11-01
2nd,C,01NOV99,C,C,01MAY00,C,C,C,2005-11-01
3rd,01MAR01,01JAN98,01JAN01,01MAR01,01MAY00,C,C,C,2005-11-01
Schedule A Workers,C,C,C,C,C,C,C,C,2005-11-01
Other Workers,01OCT00,01OCT00,01OCT00,01OCT00,01OCT00,C,C,C,2005-11-01
4th,C,C,C,C,C,C,C,C,2005-11-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2005-11-01
5th,C,C,C,C,C,C,C,C,2005-11-01
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2005-11-01
1st,C,01FEB03,C,C,01JUL01,C,C,C,2005-12-01
2nd,C,01JUL00,C,C,01FEB01,C,C,C,2005-12-01
3rd,15MAR01,01JAN99,01FEB01,15MAR01,01JAN01,C,C,C,2005-12-01
Schedule A Workers,C,C,C,C,C,C,C,C,2005-12-01
Other Workers,01OCT00,01OCT00,01OCT00,01OCT00,01OCT00,C,C,C,2005-12-01
4th,C,C,C,C,C,C,C,C,2005-12-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2005-12-01
5th,C,C,C,C,C,C,C,C,2005-12-01
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2005-12-01
1st,C,01JUL03,C,C,01JAN02,C,C,C,2006-01-01
2nd,C,01JAN01,C,C,01JUN01,C,C,C,2006-01-01
3rd,01APR01,01JUN99,01MAR01,01APR01,01APR01,C,C,C,2006-01-01
Schedule A Workers,C,C,C,C,C,C,C,C,2006-01-01
Other Workers,01APR01,01APR01,01APR01,01APR01,01APR01,C,C,C,2006-01-01
4th,C,C,C,C,C,C,C,C,2006-01-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2006-01-01
5th,C,C,C,C,C,C,C,C,2006-01-01
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2006-01-01
1st,C,01FEB04,C,C,01JAN03,C,C,C,2006-02-01
2nd,C,01AUG01,C,C,01APR02,C,C,C,2006-02-01
3rd,22APR01,01JAN00,15MAR01,22APR01,22APR01,C,C,C,2006-02-01
Schedule A Workers,C,C,C,C,C,C,C,C,2006-02-01
Other Workers,01OCT01,01OCT01,01OCT01,01OCT01,01OCT01,C,C,C,2006-02-01
4th,C,C,C,C,C,C,C,C,2006-02-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2006-02-01
5th,C,C,C,C,C,C,C,C,2006-02-01
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2006-02-01
1st,C,01JUL04,C,C,01JUL03,C,C,C,2006-03-01
2nd,C,01JAN02,C,C,01JUL02,C,C,C,2006-03-01
3rd,01MAY01,01JAN01,22MAR01,01MAY01,01MAY01,C,C,C,2006-03-01
Schedule A Workers,C,C,C,C,C,C,C,C,2006-03-01
Other Workers,01OCT01,01OCT01,01OCT01,01OCT01,01OCT01,C,C,C,2006-03-01
4th,C,C,C,C,C,C,C,C,2006-03-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2006-03-01
5th,C,C,C,C,C,C,C,C,2006-03-01
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2006-03-01
1st,C,01JAN05,C,C,01JAN04,C,C,C,2006-04-01
2nd,C,01JUL02,C,C,01JAN03,C,C,C,2006-04-01
3rd,01MAY01,01FEB01,08APR01,01MAY01,01MAY01,C,C,C,2006-04-01
Schedule A Workers,C,C,C,C,C,C,C,C,2006-04-01
Other Workers,01OCT01,01OCT01,01OCT01,01OCT01,01OCT01,C,C,C,2006-04-01
4th,C,C,C,C,C,C,C,C,2006-04-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2006-04-01
5th,C,C,C,C,C,C,C,C,2006-04-01
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2006-04-01
1st,C,01JUL05,C,C,01JUL04,C,C,C,2006-05-01
2nd,C,01JAN03,C,C,01JAN04,C,C,C,2006-05-01
3rd,01MAY01,01MAR01,15APR01,01MAY01,01MAY01,C,C,C,2006-05-01
Schedule A Workers,C,C,C,C,C,C,C,C,2006-05-01
Other Workers,01OCT00,01OCT00,01OCT00,01OCT00,01OCT00,C,C,C,2006-05-01
4th,C,C,C,C,C,C,C,C,2006-05-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2006-05-01
5th,C,C,C,C,C,C,C,C,2006-05-01
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2006-05-01
1st,C,01JAN06,C,C,01JUL05,C,C,C,2006-06-01
2nd,C,01JAN03,C,C,01JUL04,C,C,C,2006-06-01
3rd,01JUL01,08APR01,22APR01,01JUL01,01JUL01,C,C,C,2006-06-01
Schedule A Workers,C,C,C,C,C,C,C,C,2006-06-01
