Employment-Based,All_Chargeability_Except_Listed,INDIA,MEXICO,PHILIPPINES,CHINA-MAINLAND,DOMINICAN REPUBLIC,EL SALVADOR  GUATEMALA  HONDURAS,VIETNAM,time,category
Certain Religious Workers,C,C,C,C,C,C,C,C,6/1/02,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,6/1/02,5th
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,6/1/02,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,7/1/02,1st
2nd,C,C,C,C,C,C,C,C,7/1/02,2nd
3rd,C,C,C,C,C,C,C,C,7/1/02,3rd
Other Workers,C,C,C,C,C,C,C,C,7/1/02,Other Workers
4th,C,C,C,C,C,C,C,C,7/1/02,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,7/1/02,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,7/1/02,5th
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,7/1/02,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,8/1/02,1st
2nd,C,C,C,C,C,C,C,C,8/1/02,2nd
3rd,C,C,C,C,C,C,C,C,8/1/02,3rd
Other Workers,C,C,C,C,C,C,C,C,8/1/02,Other Workers
4th,C,C,C,C,C,C,C,C,8/1/02,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,8/1/02,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,8/1/02,5th
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,8/1/02,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,9/1/02,1st
2nd,C,C,C,C,C,C,C,C,9/1/02,2nd
3rd,C,C,C,C,C,C,C,C,9/1/02,3rd
Other Workers,C,C,C,C,C,C,C,C,9/1/02,Other Workers
4th,C,C,C,C,C,C,C,C,9/1/02,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,9/1/02,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,9/1/02,5th
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,9/1/02,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,10/1/02,1st
2nd,C,C,C,C,C,C,C,C,10/1/02,2nd
3rd,C,C,C,C,C,C,C,C,10/1/02,3rd
Other Workers,C,C,C,C,C,C,C,C,10/1/02,Other Workers
4th,C,C,C,C,C,C,C,C,10/1/02,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,10/1/02,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,10/1/02,5th
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,10/1/02,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,11/1/02,1st
2nd,C,C,C,C,C,C,C,C,11/1/02,2nd
3rd,C,C,C,C,C,C,C,C,11/1/02,3rd
Other Workers,C,C,C,C,C,C,C,C,11/1/02,Other Workers
4th,C,C,C,C,C,C,C,C,11/1/02,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,11/1/02,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,11/1/02,5th
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,11/1/02,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,12/1/02,1st
2nd,C,C,C,C,C,C,C,C,12/1/02,2nd
3rd,C,C,C,C,C,C,C,C,12/1/02,3rd
Other Workers,C,C,C,C,C,C,C,C,12/1/02,Other Workers
4th,C,C,C,C,C,C,C,C,12/1/02,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,12/1/02,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,12/1/02,5th
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,12/1/02,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,1/1/03,1st
2nd,C,C,C,C,C,C,C,C,1/1/03,2nd
3rd,C,C,C,C,C,C,C,C,1/1/03,3rd
Other Workers,C,C,C,C,C,C,C,C,1/1/03,Other Workers
4th,C,C,C,C,C,C,C,C,1/1/03,4th
5th,C,C,C,C,C,C,C,C,1/1/03,5th
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,1/1/03,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,2/1/03,1st
2nd,C,C,C,C,C,C,C,C,2/1/03,2nd
3rd,C,C,C,C,C,C,C,C,2/1/03,3rd
Other Workers,C,C,C,C,C,C,C,C,2/1/03,Other Workers
4th,C,C,C,C,C,C,C,C,2/1/03,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,2/1/03,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,2/1/03,5th
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2/1/03,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,3/1/03,1st
2nd,C,C,C,C,C,C,C,C,3/1/03,2nd
3rd,C,C,C,C,C,C,C,C,3/1/03,3rd
Other Workers,C,C,C,C,C,C,C,C,3/1/03,Other Workers
4th,C,C,C,C,C,C,C,C,3/1/03,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,3/1/03,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,3/1/03,5th
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,3/1/03,5th Targeted Employment Areas
Employment-Based,C,C,C,C,C,C,C,C,4/1/03,Employment-Based
1st,C,C,C,C,C,C,C,C,4/1/03,1st
2nd,C,C,C,C,C,C,C,C,4/1/03,2nd
3rd,C,C,C,C,C,C,C,C,4/1/03,3rd
Other Workers,C,C,C,C,C,C,C,C,4/1/03,Other Workers
4th,C,C,C,C,C,C,C,C,4/1/03,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,4/1/03,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,4/1/03,5th
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,4/1/03,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,5/1/03,1st
2nd,C,C,C,C,C,C,C,C,5/1/03,2nd
3rd,C,C,C,C,C,C,C,C,5/1/03,3rd
Other Workers,C,C,C,C,C,C,C,C,5/1/03,Other Workers
4th,C,C,C,C,C,C,C,C,5/1/03,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,5/1/03,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,5/1/03,5th
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,5/1/03,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,6/1/03,1st
2nd,C,C,C,C,C,C,C,C,6/1/03,2nd
3rd,C,C,C,C,C,C,C,C,6/1/03,3rd
Other Workers,C,C,C,C,C,C,C,C,6/1/03,Other Workers
4th,C,C,C,C,C,C,C,C,6/1/03,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,6/1/03,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,6/1/03,5th
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,6/1/03,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,7/1/03,1st
2nd,C,C,C,C,C,C,C,C,7/1/03,2nd
3rd,C,C,C,C,C,C,C,C,7/1/03,3rd
Other Workers,C,C,C,C,C,C,C,C,7/1/03,Other Workers
4th,C,C,C,C,C,C,C,C,7/1/03,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,7/1/03,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,7/1/03,5th
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,7/1/03,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,8/1/03,1st
2nd,C,C,C,C,C,C,C,C,8/1/03,2nd
3rd,C,C,C,C,C,C,C,C,8/1/03,3rd
Other Workers,C,C,C,C,C,C,C,C,8/1/03,Other Workers
4th,C,C,C,C,C,C,C,C,8/1/03,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,8/1/03,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,8/1/03,5th
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,8/1/03,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,9/1/03,1st
2nd,C,C,C,C,C,C,C,C,9/1/03,2nd
3rd,C,C,C,C,C,C,C,C,9/1/03,3rd
Other Workers,C,C,C,C,C,C,C,C,9/1/03,Other Workers
4th,C,C,C,C,C,C,C,C,9/1/03,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,9/1/03,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,9/1/03,5th
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,9/1/03,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,10/1/03,1st
2nd,C,C,C,C,C,C,C,C,10/1/03,2nd
3rd,C,C,C,C,C,C,C,C,10/1/03,3rd
Other Workers,C,C,C,C,C,C,C,C,10/1/03,Other Workers
4th,C,C,C,C,C,C,C,C,10/1/03,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,10/1/03,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,10/1/03,5th
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,10/1/03,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,11/1/03,1st
2nd,C,C,C,C,C,C,C,C,11/1/03,2nd
3rd,C,C,C,C,C,C,C,C,11/1/03,3rd
Other Workers,C,C,C,C,C,C,C,C,11/1/03,Other Workers
4th,C,C,C,C,C,C,C,C,11/1/03,4th
5th,C,C,C,C,C,C,C,C,11/1/03,5th
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,11/1/03,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,12/1/03,1st
2nd,C,C,C,C,C,C,C,C,12/1/03,2nd
3rd,C,C,C,C,C,C,C,C,12/1/03,3rd
Other Workers,C,C,C,C,C,C,C,C,12/1/03,Other Workers
4th,C,C,C,C,C,C,C,C,12/1/03,4th
Certain Religious  Workers,C,C,C,C,C,C,C,C,12/1/03,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,12/1/03,5th
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,12/1/03,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,1/1/04,1st
2nd,C,C,C,C,C,C,C,C,1/1/04,2nd
3rd,C,C,C,C,C,C,C,C,1/1/04,3rd
Other Workers,C,C,C,C,C,C,C,C,1/1/04,Other Workers
4th,C,C,C,C,C,C,C,C,1/1/04,4th
Certain Religious  Workers,C,C,C,C,C,C,C,C,1/1/04,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,1/1/04,5th
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,1/1/04,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,2/1/04,1st
2nd,C,C,C,C,C,C,C,C,2/1/04,2nd
3rd,C,C,C,C,C,C,C,C,2/1/04,3rd
Other Workers,C,C,C,C,C,C,C,C,2/1/04,Other Workers
4th,C,C,C,C,C,C,C,C,2/1/04,4th
Certain Religious  Workers,C,C,C,C,C,C,C,C,2/1/04,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,2/1/04,5th
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2/1/04,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,3/1/04,1st
2nd,C,C,C,C,C,C,C,C,3/1/04,2nd
3rd,C,C,C,C,C,C,C,C,3/1/04,3rd
Other Workers,C,C,C,C,C,C,C,C,3/1/04,Other Workers
4th,C,C,C,C,C,C,C,C,3/1/04,4th
Certain Religious  Workers,C,C,C,C,C,C,C,C,3/1/04,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,3/1/04,5th
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,3/1/04,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,4/1/04,1st
2nd,C,C,C,C,C,C,C,C,4/1/04,2nd
3rd,C,C,C,C,C,C,C,C,4/1/04,3rd
Other Workers,C,C,C,C,C,C,C,C,4/1/04,Other Workers
4th,C,C,C,C,C,C,C,C,4/1/04,4th
Certain Religious  Workers,C,C,C,C,C,C,C,C,4/1/04,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,4/1/04,5th
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,4/1/04,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,5/1/04,1st
2nd,C,C,C,C,C,C,C,C,5/1/04,2nd
3rd,C,C,C,C,C,C,C,C,5/1/04,3rd
Other Workers,C,C,C,C,C,C,C,C,5/1/04,Other Workers
4th,C,C,C,C,C,C,C,C,5/1/04,4th
Certain Religiuos  Workers,C,C,C,C,C,C,C,C,5/1/04,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,5/1/04,5th
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,5/1/04,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,6/1/04,1st
2nd,C,C,C,C,C,C,C,C,6/1/04,2nd
3rd,C,C,C,C,C,C,C,C,6/1/04,3rd
Other Workers,C,C,C,C,C,C,C,C,6/1/04,Other Workers
4th,C,C,C,C,C,C,C,C,6/1/04,4th
Certain Religious  Workers,C,C,C,C,C,C,C,C,6/1/04,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,6/1/04,5th
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,6/1/04,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,7/1/04,1st
2nd,C,C,C,C,C,C,C,C,7/1/04,2nd
3rd,C,C,C,C,C,C,C,C,7/1/04,3rd
Other Workers,C,C,C,C,C,C,C,C,7/1/04,Other Workers
4th,C,C,C,C,C,C,C,C,7/1/04,4th
Certain Religious  Workers,C,C,C,C,C,C,C,C,7/1/04,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,7/1/04,5th
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,7/1/04,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,8/1/04,1st
2nd,C,C,C,C,C,C,C,C,8/1/04,2nd
3rd,C,C,C,C,C,C,C,C,8/1/04,3rd
Other Workers,C,C,C,C,C,C,C,C,8/1/04,Other Workers
4th,C,C,C,C,C,C,C,C,8/1/04,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,8/1/04,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,8/1/04,5th
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,8/1/04,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,9/1/04,1st
2nd,C,C,C,C,C,C,C,C,9/1/04,2nd
3rd,C,C,C,C,C,C,C,C,9/1/04,3rd
Other Workers,C,C,C,C,C,C,C,C,9/1/04,Other Workers
4th,C,C,C,C,C,C,C,C,9/1/04,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,9/1/04,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,9/1/04,5th
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,9/1/04,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,10/1/04,1st
2nd,C,C,C,C,C,C,C,C,10/1/04,2nd
3rd,C,C,C,C,C,C,C,C,10/1/04,3rd
Other Workers,C,C,C,C,C,C,C,C,10/1/04,Other Workers
4th,C,C,C,C,C,C,C,C,10/1/04,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,10/1/04,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,10/1/04,5th
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,10/1/04,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,11/1/04,1st
2nd,C,C,C,C,C,C,C,C,11/1/04,2nd
3rd,C,C,C,C,C,C,C,C,11/1/04,3rd
Other Workers,C,C,C,C,C,C,C,C,11/1/04,Other Workers
4th,C,C,C,C,C,C,C,C,11/1/04,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,11/1/04,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,11/1/04,5th
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,11/1/04,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,12/1/04,1st
2nd,C,C,C,C,C,C,C,C,12/1/04,2nd
3rd,C,C,C,C,C,C,C,C,12/1/04,3rd
Other Workers,C,C,C,C,C,C,C,C,12/1/04,Other Workers
4th,C,C,C,C,C,C,C,C,12/1/04,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,12/1/04,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,12/1/04,5th
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,12/1/04,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,1/1/05,1st
2nd,C,C,C,C,C,C,C,C,1/1/05,2nd
3rd,C,1/1/02,C,1/1/02,1/1/02,C,C,C,1/1/05,3rd
Other Workers,C,C,C,C,C,C,C,C,1/1/05,Other Workers
4th,C,C,C,C,C,C,C,C,1/1/05,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,1/1/05,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,1/1/05,5th
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,1/1/05,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,2/1/05,1st
2nd,C,C,C,C,C,C,C,C,2/1/05,2nd
3rd,C,1/1/02,C,1/1/02,1/1/02,C,C,C,2/1/05,3rd
Other Workers,C,C,C,C,C,C,C,C,2/1/05,Other Workers
4th,C,C,C,C,C,C,C,C,2/1/05,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,2/1/05,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,2/1/05,5th
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2/1/05,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,3/1/05,1st
2nd,C,C,C,C,C,C,C,C,3/1/05,2nd
3rd,C,3/1/02,C,3/1/02,3/1/02,C,C,C,3/1/05,3rd
Other Workers,7/1/01,7/1/01,7/1/01,7/1/01,7/1/01,C,C,C,3/1/05,Other Workers
4th,C,C,C,C,C,C,C,C,3/1/05,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,3/1/05,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,3/1/05,5th
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,3/1/05,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,4/1/05,1st
2nd,C,C,C,C,C,C,C,C,4/1/05,2nd
3rd,C,4/1/02,C,4/1/02,4/1/02,C,C,C,4/1/05,3rd
Other Workers,7/1/01,7/1/01,7/1/01,7/1/01,7/1/01,C,C,C,4/1/05,Other Workers
4th,C,C,C,C,C,C,C,C,4/1/05,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,4/1/05,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,4/1/05,5th
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,4/1/05,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,5/1/05,1st
2nd,C,C,C,C,C,C,C,C,5/1/05,2nd
3rd,C,6/1/02,C,6/1/02,6/1/02,C,C,C,5/1/05,3rd
Other Workers,7/1/01,7/1/01,7/1/01,7/1/01,7/1/01,C,C,C,5/1/05,Other Workers
4th,C,C,C,C,C,C,C,C,5/1/05,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,5/1/05,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,5/1/05,5th
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,5/1/05,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,6/1/05,1st
2nd,C,C,C,C,C,C,C,C,6/1/05,2nd
3rd,C,6/1/02,C,6/1/02,6/1/02,C,C,C,6/1/05,3rd
Schedule A Workers,C,C,C,C,C,C,C,C,6/1/05,Schedule A Workers
Other Workers,1/1/99,1/1/99,1/1/99,1/1/99,1/1/99,C,C,C,6/1/05,Other Workers
4th,C,C,C,C,C,C,C,C,6/1/05,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,6/1/05,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,6/1/05,5th
Targeted Employment Areas /  Regional Centers,C,C,C,C,C,C,C,C,6/1/05,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,7/1/05,1st
2nd,C,C,C,C,C,C,C,C,7/1/05,2nd
3rd,U,U,U,U,U,C,C,C,7/1/05,3rd
Schedule A Workers,C,C,C,C,C,C,C,C,7/1/05,Schedule A Workers
Other Workers,U,U,U,U,U,C,C,C,7/1/05,Other Workers
4th,C,C,C,C,C,C,C,C,7/1/05,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,7/1/05,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,7/1/05,5th
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,7/1/05,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,8/1/05,1st
2nd,C,C,C,C,C,C,C,C,8/1/05,2nd
3rd,U,U,U,U,U,C,C,C,8/1/05,3rd
Schedule A  Workers,C,C,C,C,C,C,C,C,8/1/05,Schedule A Workers
Other Workers,U,U,U,U,U,C,C,C,8/1/05,Other Workers
4th,C,C,C,C,C,C,C,C,8/1/05,4th
Certain Religious  Workers,C,C,C,C,C,C,C,C,8/1/05,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,8/1/05,5th
Targeted Employ-  ment Areas/  Regional Centers,C,C,C,C,C,C,C,C,8/1/05,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,9/1/05,1st
2nd,C,C,C,C,C,C,C,C,9/1/05,2nd
3rd,U,U,U,U,U,C,C,C,9/1/05,3rd
Schedule A Workers,C,C,C,C,C,C,C,C,9/1/05,Schedule A Workers
Other Workers,U,U,U,U,U,C,C,C,9/1/05,Other Workers
4th,C,C,C,C,C,C,C,C,9/1/05,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,9/1/05,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,9/1/05,5th
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,9/1/05,5th Targeted Employment Areas
1st,C,8/1/02,C,C,1/1/00,C,C,C,10/1/05,1st
2nd,C,11/1/99,C,C,5/1/00,C,C,C,10/1/05,2nd
3rd,3/1/01,1/1/98,1/1/01,3/1/01,5/1/00,C,C,C,10/1/05,3rd
Schedule A Workers,C,C,C,C,C,C,C,C,10/1/05,Schedule A Workers
Other Workers,10/1/00,10/1/00,10/1/00,10/1/00,10/1/00,C,C,C,10/1/05,Other Workers
4th,C,C,C,C,C,C,C,C,10/1/05,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,10/1/05,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,10/1/05,5th
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,10/1/05,5th Targeted Employment Areas
1st,C,8/1/02,C,C,1/1/00,C,C,C,11/1/05,1st
2nd,C,11/1/99,C,C,5/1/00,C,C,C,11/1/05,2nd
3rd,3/1/01,1/1/98,1/1/01,3/1/01,5/1/00,C,C,C,11/1/05,3rd
Schedule A Workers,C,C,C,C,C,C,C,C,11/1/05,Schedule A Workers
Other Workers,10/1/00,10/1/00,10/1/00,10/1/00,10/1/00,C,C,C,11/1/05,Other Workers
4th,C,C,C,C,C,C,C,C,11/1/05,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,11/1/05,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,11/1/05,5th
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,11/1/05,5th Targeted Employment Areas
1st,C,2/1/03,C,C,7/1/01,C,C,C,12/1/05,1st
2nd,C,7/1/00,C,C,2/1/01,C,C,C,12/1/05,2nd
3rd,3/15/01,1/1/99,2/1/01,3/15/01,1/1/01,C,C,C,12/1/05,3rd
Schedule A Workers,C,C,C,C,C,C,C,C,12/1/05,Schedule A Workers
