Employment-Based,All_Chargeability_Except_Listed,INDIA,MEXICO,PHILIPPINES,CHINA-MAINLAND,DOMINICAN REPUBLIC,EL SALVADOR  GUATEMALA  HONDURAS,VIETNAM,time,Preference
5th,C,C,C,C,C,C,C,C,2002-05-01,E5
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2002-05-01,E5
1st,C,C,C,C,C,C,C,C,2002-06-01,E1
2nd,C,C,C,C,C,C,C,C,2002-06-01,E2
3rd,C,C,C,C,C,C,C,C,2002-06-01,E3
Other Workers,C,C,C,C,C,C,C,C,2002-06-01,E3_U
4th,C,C,C,C,C,C,C,C,2002-06-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2002-06-01,E4_R
5th,C,C,C,C,C,C,C,C,2002-06-01,E5
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2002-06-01,E5
1st,C,C,C,C,C,C,C,C,2002-07-01,E1
2nd,C,C,C,C,C,C,C,C,2002-07-01,E2
3rd,C,C,C,C,C,C,C,C,2002-07-01,E3
Other Workers,C,C,C,C,C,C,C,C,2002-07-01,E3_U
4th,C,C,C,C,C,C,C,C,2002-07-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2002-07-01,E4_R
5th,C,C,C,C,C,C,C,C,2002-07-01,E5
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2002-07-01,E5
1st,C,C,C,C,C,C,C,C,2002-08-01,E1
2nd,C,C,C,C,C,C,C,C,2002-08-01,E2
3rd,C,C,C,C,C,C,C,C,2002-08-01,E3
Other Workers,C,C,C,C,C,C,C,C,2002-08-01,E3_U
4th,C,C,C,C,C,C,C,C,2002-08-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2002-08-01,E4_R
5th,C,C,C,C,C,C,C,C,2002-08-01,E5
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2002-08-01,E5
1st,C,C,C,C,C,C,C,C,2002-09-01,E1
2nd,C,C,C,C,C,C,C,C,2002-09-01,E2
3rd,C,C,C,C,C,C,C,C,2002-09-01,E3
Other Workers,C,C,C,C,C,C,C,C,2002-09-01,E3_U
4th,C,C,C,C,C,C,C,C,2002-09-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2002-09-01,E4_R
5th,C,C,C,C,C,C,C,C,2002-09-01,E5
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2002-09-01,E5
1st,C,C,C,C,C,C,C,C,2002-10-01,E1
2nd,C,C,C,C,C,C,C,C,2002-10-01,E2
3rd,C,C,C,C,C,C,C,C,2002-10-01,E3
Other Workers,C,C,C,C,C,C,C,C,2002-10-01,E3_U
4th,C,C,C,C,C,C,C,C,2002-10-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2002-10-01,E4_R
5th,C,C,C,C,C,C,C,C,2002-10-01,E5
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2002-10-01,E5
1st,C,C,C,C,C,C,C,C,2002-11-01,E1
2nd,C,C,C,C,C,C,C,C,2002-11-01,E2
3rd,C,C,C,C,C,C,C,C,2002-11-01,E3
Other Workers,C,C,C,C,C,C,C,C,2002-11-01,E3_U
4th,C,C,C,C,C,C,C,C,2002-11-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2002-11-01,E4_R
5th,C,C,C,C,C,C,C,C,2002-11-01,E5
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2002-11-01,E5
1st,C,C,C,C,C,C,C,C,2002-12-01,E1
2nd,C,C,C,C,C,C,C,C,2002-12-01,E2
3rd,C,C,C,C,C,C,C,C,2002-12-01,E3
Other Workers,C,C,C,C,C,C,C,C,2002-12-01,E3_U
4th,C,C,C,C,C,C,C,C,2002-12-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2002-12-01,E4_R
5th,C,C,C,C,C,C,C,C,2002-12-01,E5
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2002-12-01,E5
1st,C,C,C,C,C,C,C,C,2003-01-01,E1
2nd,C,C,C,C,C,C,C,C,2003-01-01,E2
3rd,C,C,C,C,C,C,C,C,2003-01-01,E3
Other Workers,C,C,C,C,C,C,C,C,2003-01-01,E3_U
4th,C,C,C,C,C,C,C,C,2003-01-01,E4
5th,C,C,C,C,C,C,C,C,2003-01-01,E5
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2003-01-01,E5
1st,C,C,C,C,C,C,C,C,2003-02-01,E1
2nd,C,C,C,C,C,C,C,C,2003-02-01,E2
3rd,C,C,C,C,C,C,C,C,2003-02-01,E3
Other Workers,C,C,C,C,C,C,C,C,2003-02-01,E3_U
4th,C,C,C,C,C,C,C,C,2003-02-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2003-02-01,E4_R
5th,C,C,C,C,C,C,C,C,2003-02-01,E5
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2003-02-01,E5
1st,C,C,C,C,C,C,C,C,2003-03-01,E1
2nd,C,C,C,C,C,C,C,C,2003-03-01,E2
3rd,C,C,C,C,C,C,C,C,2003-03-01,E3
Other Workers,C,C,C,C,C,C,C,C,2003-03-01,E3_U
4th,C,C,C,C,C,C,C,C,2003-03-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2003-03-01,E4_R
5th,C,C,C,C,C,C,C,C,2003-03-01,E5
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2003-03-01,E5
1st,C,C,C,C,C,C,C,C,2003-04-01,E1
2nd,C,C,C,C,C,C,C,C,2003-04-01,E2
3rd,C,C,C,C,C,C,C,C,2003-04-01,E3
Other Workers,C,C,C,C,C,C,C,C,2003-04-01,E3_U
4th,C,C,C,C,C,C,C,C,2003-04-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2003-04-01,E4_R
5th,C,C,C,C,C,C,C,C,2003-04-01,E5
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2003-04-01,E5
Employment-Based,C,C,C,C,C,C,C,C,2003-04-01,Unknown
1st,C,C,C,C,C,C,C,C,2003-05-01,E1
2nd,C,C,C,C,C,C,C,C,2003-05-01,E2
3rd,C,C,C,C,C,C,C,C,2003-05-01,E3
Other Workers,C,C,C,C,C,C,C,C,2003-05-01,E3_U
4th,C,C,C,C,C,C,C,C,2003-05-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2003-05-01,E4_R
5th,C,C,C,C,C,C,C,C,2003-05-01,E5
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2003-05-01,E5
1st,C,C,C,C,C,C,C,C,2003-06-01,E1
2nd,C,C,C,C,C,C,C,C,2003-06-01,E2
3rd,C,C,C,C,C,C,C,C,2003-06-01,E3
Other Workers,C,C,C,C,C,C,C,C,2003-06-01,E3_U
4th,C,C,C,C,C,C,C,C,2003-06-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2003-06-01,E4_R
5th,C,C,C,C,C,C,C,C,2003-06-01,E5
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2003-06-01,E5
1st,C,C,C,C,C,C,C,C,2003-07-01,E1
2nd,C,C,C,C,C,C,C,C,2003-07-01,E2
3rd,C,C,C,C,C,C,C,C,2003-07-01,E3
Other Workers,C,C,C,C,C,C,C,C,2003-07-01,E3_U
4th,C,C,C,C,C,C,C,C,2003-07-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2003-07-01,E4_R
5th,C,C,C,C,C,C,C,C,2003-07-01,E5
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2003-07-01,E5
1st,C,C,C,C,C,C,C,C,2003-08-01,E1
2nd,C,C,C,C,C,C,C,C,2003-08-01,E2
3rd,C,C,C,C,C,C,C,C,2003-08-01,E3
Other Workers,C,C,C,C,C,C,C,C,2003-08-01,E3_U
4th,C,C,C,C,C,C,C,C,2003-08-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2003-08-01,E4_R
5th,C,C,C,C,C,C,C,C,2003-08-01,E5
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2003-08-01,E5
1st,C,C,C,C,C,C,C,C,2003-09-01,E1
2nd,C,C,C,C,C,C,C,C,2003-09-01,E2
3rd,C,C,C,C,C,C,C,C,2003-09-01,E3
Other Workers,C,C,C,C,C,C,C,C,2003-09-01,E3_U
4th,C,C,C,C,C,C,C,C,2003-09-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2003-09-01,E4_R
5th,C,C,C,C,C,C,C,C,2003-09-01,E5
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2003-09-01,E5
1st,C,C,C,C,C,C,C,C,2003-10-01,E1
2nd,C,C,C,C,C,C,C,C,2003-10-01,E2
3rd,C,C,C,C,C,C,C,C,2003-10-01,E3
Other Workers,C,C,C,C,C,C,C,C,2003-10-01,E3_U
4th,C,C,C,C,C,C,C,C,2003-10-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2003-10-01,E4_R
5th,C,C,C,C,C,C,C,C,2003-10-01,E5
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2003-10-01,E5
1st,C,C,C,C,C,C,C,C,2003-11-01,E1
2nd,C,C,C,C,C,C,C,C,2003-11-01,E2
3rd,C,C,C,C,C,C,C,C,2003-11-01,E3
Other Workers,C,C,C,C,C,C,C,C,2003-11-01,E3_U
4th,C,C,C,C,C,C,C,C,2003-11-01,E4
5th,C,C,C,C,C,C,C,C,2003-11-01,E5
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2003-11-01,E5
1st,C,C,C,C,C,C,C,C,2003-12-01,E1
2nd,C,C,C,C,C,C,C,C,2003-12-01,E2
3rd,C,C,C,C,C,C,C,C,2003-12-01,E3
Other Workers,C,C,C,C,C,C,C,C,2003-12-01,E3_U
4th,C,C,C,C,C,C,C,C,2003-12-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2003-12-01,E4_R
5th,C,C,C,C,C,C,C,C,2003-12-01,E5
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2003-12-01,E5
1st,C,C,C,C,C,C,C,C,2004-01-01,E1
2nd,C,C,C,C,C,C,C,C,2004-01-01,E2
3rd,C,C,C,C,C,C,C,C,2004-01-01,E3
Other Workers,C,C,C,C,C,C,C,C,2004-01-01,E3_U
4th,C,C,C,C,C,C,C,C,2004-01-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2004-01-01,E4_R
5th,C,C,C,C,C,C,C,C,2004-01-01,E5
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2004-01-01,E5
1st,C,C,C,C,C,C,C,C,2004-02-01,E1
2nd,C,C,C,C,C,C,C,C,2004-02-01,E2
3rd,C,C,C,C,C,C,C,C,2004-02-01,E3
Other Workers,C,C,C,C,C,C,C,C,2004-02-01,E3_U
4th,C,C,C,C,C,C,C,C,2004-02-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2004-02-01,E4_R
5th,C,C,C,C,C,C,C,C,2004-02-01,E5
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2004-02-01,E5
1st,C,C,C,C,C,C,C,C,2004-03-01,E1
2nd,C,C,C,C,C,C,C,C,2004-03-01,E2
3rd,C,C,C,C,C,C,C,C,2004-03-01,E3
Other Workers,C,C,C,C,C,C,C,C,2004-03-01,E3_U
4th,C,C,C,C,C,C,C,C,2004-03-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2004-03-01,E4_R
5th,C,C,C,C,C,C,C,C,2004-03-01,E5
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2004-03-01,E5
1st,C,C,C,C,C,C,C,C,2004-04-01,E1
2nd,C,C,C,C,C,C,C,C,2004-04-01,E2
3rd,C,C,C,C,C,C,C,C,2004-04-01,E3
Other Workers,C,C,C,C,C,C,C,C,2004-04-01,E3_U
4th,C,C,C,C,C,C,C,C,2004-04-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2004-04-01,E4_R
5th,C,C,C,C,C,C,C,C,2004-04-01,E5
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2004-04-01,E5
1st,C,C,C,C,C,C,C,C,2004-05-01,E1
2nd,C,C,C,C,C,C,C,C,2004-05-01,E2
3rd,C,C,C,C,C,C,C,C,2004-05-01,E3
Other Workers,C,C,C,C,C,C,C,C,2004-05-01,E3_U
4th,C,C,C,C,C,C,C,C,2004-05-01,E4
Certain Religiuos Workers,C,C,C,C,C,C,C,C,2004-05-01,E4_R
5th,C,C,C,C,C,C,C,C,2004-05-01,E5
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2004-05-01,E5
1st,C,C,C,C,C,C,C,C,2004-06-01,E1
2nd,C,C,C,C,C,C,C,C,2004-06-01,E2
3rd,C,C,C,C,C,C,C,C,2004-06-01,E3
Other Workers,C,C,C,C,C,C,C,C,2004-06-01,E3_U
4th,C,C,C,C,C,C,C,C,2004-06-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2004-06-01,E4_R
5th,C,C,C,C,C,C,C,C,2004-06-01,E5
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2004-06-01,E5
1st,C,C,C,C,C,C,C,C,2004-07-01,E1
2nd,C,C,C,C,C,C,C,C,2004-07-01,E2
3rd,C,C,C,C,C,C,C,C,2004-07-01,E3
Other Workers,C,C,C,C,C,C,C,C,2004-07-01,E3_U
4th,C,C,C,C,C,C,C,C,2004-07-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2004-07-01,E4_R
5th,C,C,C,C,C,C,C,C,2004-07-01,E5
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2004-07-01,E5
1st,C,C,C,C,C,C,C,C,2004-08-01,E1
2nd,C,C,C,C,C,C,C,C,2004-08-01,E2
3rd,C,C,C,C,C,C,C,C,2004-08-01,E3
Other Workers,C,C,C,C,C,C,C,C,2004-08-01,E3_U
4th,C,C,C,C,C,C,C,C,2004-08-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2004-08-01,E4_R
5th,C,C,C,C,C,C,C,C,2004-08-01,E5
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2004-08-01,E5
1st,C,C,C,C,C,C,C,C,2004-09-01,E1
2nd,C,C,C,C,C,C,C,C,2004-09-01,E2
3rd,C,C,C,C,C,C,C,C,2004-09-01,E3
Other Workers,C,C,C,C,C,C,C,C,2004-09-01,E3_U
4th,C,C,C,C,C,C,C,C,2004-09-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2004-09-01,E4_R
5th,C,C,C,C,C,C,C,C,2004-09-01,E5
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2004-09-01,E5
1st,C,C,C,C,C,C,C,C,2004-10-01,E1
2nd,C,C,C,C,C,C,C,C,2004-10-01,E2
3rd,C,C,C,C,C,C,C,C,2004-10-01,E3
Other Workers,C,C,C,C,C,C,C,C,2004-10-01,E3_U
4th,C,C,C,C,C,C,C,C,2004-10-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2004-10-01,E4_R
5th,C,C,C,C,C,C,C,C,2004-10-01,E5
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2004-10-01,E5
1st,C,C,C,C,C,C,C,C,2004-11-01,E1
2nd,C,C,C,C,C,C,C,C,2004-11-01,E2
3rd,C,C,C,C,C,C,C,C,2004-11-01,E3
Other Workers,C,C,C,C,C,C,C,C,2004-11-01,E3_U
4th,C,C,C,C,C,C,C,C,2004-11-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2004-11-01,E4_R
5th,C,C,C,C,C,C,C,C,2004-11-01,E5
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2004-11-01,E5
1st,C,C,C,C,C,C,C,C,2004-12-01,E1
2nd,C,C,C,C,C,C,C,C,2004-12-01,E2
3rd,C,C,C,C,C,C,C,C,2004-12-01,E3
Other Workers,C,C,C,C,C,C,C,C,2004-12-01,E3_U
4th,C,C,C,C,C,C,C,C,2004-12-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2004-12-01,E4_R
5th,C,C,C,C,C,C,C,C,2004-12-01,E5
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2004-12-01,E5
1st,C,C,C,C,C,C,C,C,2005-01-01,E1
2nd,C,C,C,C,C,C,C,C,2005-01-01,E2
3rd,C,2002-01-01,C,2002-01-01,2002-01-01,C,C,C,2005-01-01,E3
Other Workers,C,C,C,C,C,C,C,C,2005-01-01,E3_U
4th,C,C,C,C,C,C,C,C,2005-01-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2005-01-01,E4_R
5th,C,C,C,C,C,C,C,C,2005-01-01,E5
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2005-01-01,E5
1st,C,C,C,C,C,C,C,C,2005-02-01,E1
2nd,C,C,C,C,C,C,C,C,2005-02-01,E2
3rd,C,2002-01-01,C,2002-01-01,2002-01-01,C,C,C,2005-02-01,E3
Other Workers,C,C,C,C,C,C,C,C,2005-02-01,E3_U
4th,C,C,C,C,C,C,C,C,2005-02-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2005-02-01,E4_R
5th,C,C,C,C,C,C,C,C,2005-02-01,E5
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2005-02-01,E5
1st,C,C,C,C,C,C,C,C,2005-03-01,E1
2nd,C,C,C,C,C,C,C,C,2005-03-01,E2
3rd,C,2002-03-01,C,2002-03-01,2002-03-01,C,C,C,2005-03-01,E3
Other Workers,2001-07-01,2001-07-01,2001-07-01,2001-07-01,2001-07-01,2001-07-01,2001-07-01,2001-07-01,2005-03-01,E3_U
4th,C,C,C,C,C,C,C,C,2005-03-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2005-03-01,E4_R
5th,C,C,C,C,C,C,C,C,2005-03-01,E5
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2005-03-01,E5
1st,C,C,C,C,C,C,C,C,2005-04-01,E1
2nd,C,C,C,C,C,C,C,C,2005-04-01,E2
3rd,C,2002-04-01,C,2002-04-01,2002-04-01,C,C,C,2005-04-01,E3
Other Workers,2001-07-01,2001-07-01,2001-07-01,2001-07-01,2001-07-01,2001-07-01,2001-07-01,2001-07-01,2005-04-01,E3_U
4th,C,C,C,C,C,C,C,C,2005-04-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2005-04-01,E4_R
5th,C,C,C,C,C,C,C,C,2005-04-01,E5
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2005-04-01,E5
1st,C,C,C,C,C,C,C,C,2005-05-01,E1
2nd,C,C,C,C,C,C,C,C,2005-05-01,E2
3rd,C,2002-06-01,C,2002-06-01,2002-06-01,C,C,C,2005-05-01,E3
Other Workers,2001-07-01,2001-07-01,2001-07-01,2001-07-01,2001-07-01,2001-07-01,2001-07-01,2001-07-01,2005-05-01,E3_U
4th,C,C,C,C,C,C,C,C,2005-05-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2005-05-01,E4_R
5th,C,C,C,C,C,C,C,C,2005-05-01,E5
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2005-05-01,E5
Schedule A Workers,C,C,C,C,C,C,C,C,2005-06-01,A
1st,C,C,C,C,C,C,C,C,2005-06-01,E1
2nd,C,C,C,C,C,C,C,C,2005-06-01,E2
3rd,C,2002-06-01,C,2002-06-01,2002-06-01,C,C,C,2005-06-01,E3
Other Workers,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,1999-01-01,2005-06-01,E3_U
4th,C,C,C,C,C,C,C,C,2005-06-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2005-06-01,E4_R
5th,C,C,C,C,C,C,C,C,2005-06-01,E5
Targeted Employment Areas / Regional Centers,C,C,C,C,C,C,C,C,2005-06-01,E5
Schedule A Workers,C,C,C,C,C,C,C,C,2005-07-01,A
1st,C,C,C,C,C,C,C,C,2005-07-01,E1
2nd,C,C,C,C,C,C,C,C,2005-07-01,E2
3rd,U,U,U,U,U,U,U,U,2005-07-01,E3
Other Workers,U,U,U,U,U,U,U,U,2005-07-01,E3_U
4th,C,C,C,C,C,C,C,C,2005-07-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2005-07-01,E4_R
5th,C,C,C,C,C,C,C,C,2005-07-01,E5
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2005-07-01,E5
Schedule A Workers,C,C,C,C,C,C,C,C,2005-08-01,A
1st,C,C,C,C,C,C,C,C,2005-08-01,E1
2nd,C,C,C,C,C,C,C,C,2005-08-01,E2
3rd,U,U,U,U,U,U,U,U,2005-08-01,E3
Other Workers,U,U,U,U,U,U,U,U,2005-08-01,E3_U
4th,C,C,C,C,C,C,C,C,2005-08-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2005-08-01,E4_R
5th,C,C,C,C,C,C,C,C,2005-08-01,E5
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2005-08-01,E5
Schedule A Workers,C,C,C,C,C,C,C,C,2005-09-01,A
1st,C,C,C,C,C,C,C,C,2005-09-01,E1
2nd,C,C,C,C,C,C,C,C,2005-09-01,E2
3rd,U,U,U,U,U,U,U,U,2005-09-01,E3
Other Workers,U,U,U,U,U,U,U,U,2005-09-01,E3_U
4th,C,C,C,C,C,C,C,C,2005-09-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2005-09-01,E4_R
5th,C,C,C,C,C,C,C,C,2005-09-01,E5
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2005-09-01,E5
Schedule A Workers,C,C,C,C,C,C,C,C,2005-10-01,A
1st,C,2002-08-01,C,C,2000-01-01,C,C,C,2005-10-01,E1
2nd,C,1999-11-01,C,C,2000-05-01,C,C,C,2005-10-01,E2
3rd,2001-03-01,1998-01-01,2001-01-01,2001-03-01,2000-05-01,2001-03-01,2001-03-01,2001-03-01,2005-10-01,E3
Other Workers,2000-10-01,2000-10-01,2000-10-01,2000-10-01,2000-10-01,2000-10-01,2000-10-01,2000-10-01,2005-10-01,E3_U
4th,C,C,C,C,C,C,C,C,2005-10-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2005-10-01,E4_R
5th,C,C,C,C,C,C,C,C,2005-10-01,E5
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2005-10-01,E5
Schedule A Workers,C,C,C,C,C,C,C,C,2005-11-01,A
1st,C,2002-08-01,C,C,2000-01-01,C,C,C,2005-11-01,E1
2nd,C,1999-11-01,C,C,2000-05-01,C,C,C,2005-11-01,E2
3rd,2001-03-01,1998-01-01,2001-01-01,2001-03-01,2000-05-01,2001-03-01,2001-03-01,2001-03-01,2005-11-01,E3
Other Workers,2000-10-01,2000-10-01,2000-10-01,2000-10-01,2000-10-01,2000-10-01,2000-10-01,2000-10-01,2005-11-01,E3_U
4th,C,C,C,C,C,C,C,C,2005-11-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2005-11-01,E4_R
5th,C,C,C,C,C,C,C,C,2005-11-01,E5
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2005-11-01,E5
Schedule A Workers,C,C,C,C,C,C,C,C,2005-12-01,A
1st,C,2003-02-01,C,C,2001-07-01,C,C,C,2005-12-01,E1
2nd,C,2000-07-01,C,C,2001-02-01,C,C,C,2005-12-01,E2
3rd,2001-03-15,1999-01-01,2001-02-01,2001-03-15,2001-01-01,2001-03-15,2001-03-15,2001-03-15,2005-12-01,E3
Other Workers,2000-10-01,2000-10-01,2000-10-01,2000-10-01,2000-10-01,2000-10-01,2000-10-01,2000-10-01,2005-12-01,E3_U
4th,C,C,C,C,C,C,C,C,2005-12-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2005-12-01,E4_R
5th,C,C,C,C,C,C,C,C,2005-12-01,E5
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2005-12-01,E5
Schedule A Workers,C,C,C,C,C,C,C,C,2006-01-01,A
1st,C,2003-07-01,C,C,2002-01-01,C,C,C,2006-01-01,E1
2nd,C,2001-01-01,C,C,2001-06-01,C,C,C,2006-01-01,E2
