url,sizeMB,Data Set,Data Dictionary,Downloads,Program Information,Tags,Date Posted
https://www.opm.gov/data/datasets/Files/610/fd567924-edea-478f-bc5a-24e19efd7243.zip,10.72,FedScope Accessions Cube (FY 2015 - FY 2019),[510.31 KB],[10.72 MB],Website: www.fedscope.opm.gov  Email: FedScope@opm.gov,fedscope,11/9/2020
https://www.opm.gov/data/datasets/Files/611/004f4b85-fe4f-4e7d-bd7b-2d23033570cb.zip,11.96,FedScope Separations Cube (FY 2015 - FY 2019),[512.06 KB],[11.96 MB],Website: www.fedscope.opm.gov  Email: FedScope@opm.gov,fedscope,11/9/2020
https://www.opm.gov/data/datasets/Files/603/19ea8b9d-9997-46d7-97de-8640c47d0f85.zip,18.93,FedScope Employment Cube (December 2019),[514.99 KB],[18.93 MB],Website: www.fedscope.opm.gov  Email: FedScope@opm.gov,fedscope,12/16/2021
https://www.opm.gov/data/datasets/Files/600/52da12cd-055e-4e9b-af36-60b2ed9e7d98.zip,19.02,FedScope Employment Cube (September 2019),[516.81 KB],[19.02 MB],Website: www.fedscope.opm.gov  Email: FedScope@opm.gov,fedscope,2/18/2023
https://www.opm.gov/data/datasets/Files/593/ee801733-d485-4f16-86bd-362dc05a4692.zip,18.7,FedScope Employment Cube (June 2019),[308.27 KB],[18.7 MB],Website: www.fedscope.opm.gov  Email: FedScope@opm.gov,fedscope,12/16/2021
https://www.opm.gov/data/datasets/Files/579/212c8df7-57b8-4f96-a7d2-da30c21772f0.zip,18.5,FedScope Employment Cube (March 2019),[327.67 KB],[18.5 MB],Website: www.fedscope.opm.gov  Email: FedScope@opm.gov,fedscope,12/16/2021
https://www.opm.gov/data/datasets/Files/556/b4850157-143b-42ce-af8b-08f90e69fc69.zip,18.52,FedScope Employment Cube (December 2018),[323.33 KB],[18.52 MB],Website: www.fedscope.opm.gov  Email: FedScope@opm.gov,fedscope,12/16/2021
https://www.opm.gov/data/datasets/Files/549/4a840c61-0c6d-41ac-8ffc-a6419b6484e0.zip,18.63,FedScope Employment Cube (September 2018),[339.7 KB],[18.63 MB],Website: www.fedscope.opm.gov  Email: FedScope@opm.gov,fedscope,2/18/2023
https://www.opm.gov/data/datasets/Files/546/593228ac-b8d1-47e6-83f5-4f001ccd81f3.zip,18.59,FedScope Employment Cube (June 2018),[324.14 KB],[18.59 MB],Website: www.fedscope.opm.gov  Email: FedScope@opm.gov,fedscope,12/16/2021
https://www.opm.gov/data/datasets/Files/543/ffc317b6-0eef-4294-b638-88833e73126c.zip,18.5,FedScope Employment Cube (March 2018),[314.45 KB],[18.5 MB],Website: www.fedscope.opm.gov  Email: FedScope@opm.gov,fedscope,12/16/2021
https://www.opm.gov/data/datasets/Files/539/1385f533-ebb2-436a-a5b1-e029dc2de710.zip,18.58,FedScope Employment Cube (December 2017),[325.21 KB],[18.58 MB],Website: www.fedscope.opm.gov  Email: FedScope@opm.gov,fedscope,12/16/2021
https://www.opm.gov/data/datasets/Files/533/7b4b44af-b3c8-4515-afe3-904668d61e1e.zip,11.92,FedScope Accessions Cube (FY 2010 - FY 2014),[526.39 KB],[11.92 MB],Website: www.fedscope.opm.gov  Email: FedScope@opm.gov,fedscope,3/12/2024
https://www.opm.gov/data/datasets/Files/534/67e6daee-26da-4b46-8d28-331a62375d64.zip,14.7,FedScope Separations Cube (FY 2010 - FY 2014),[527.81 KB],[14.7 MB],Website: www.fedscope.opm.gov  Email: FedScope@opm.gov,fedscope,3/12/2024
https://www.opm.gov/data/datasets/Files/531/dd9c7250-b3ba-4adf-9628-fcb046dd0868.zip,15.73,FedScope Accessions Cube (FY 2005 - FY 2009),[526.29 KB],[15.73 MB],Website: www.fedscope.opm.gov  Email: FedScope@opm.gov,fedscope,3/12/2024
https://www.opm.gov/data/datasets/Files/532/f61ffa3e-00ce-45bc-aebf-eb9244d3a113.zip,15.02,FedScope Separations Cube (FY 2005 - FY 2009),[527.91 KB],[15.02 MB],Website: www.fedscope.opm.gov  Email: FedScope@opm.gov,fedscope,3/12/2024
https://www.opm.gov/data/datasets/Files/522/e4af5225-d9fc-46fa-98f9-b360ed26840d.zip,19.4,FedScope Employment Cube (September 2017),[310.54 KB],[19.4 MB],Website: www.fedscope.opm.gov  Email: FedScope@opm.gov,fedscope,5/22/2020
https://www.opm.gov/data/datasets/Files/519/568cc614-2995-4237-9300-4264c5e1defe.zip,19.11,FedScope Employment Cube (June 2017),[315.61 KB],[19.11 MB],Website: www.fedscope.opm.gov  Email: FedScope@opm.gov,fedscope,5/22/2020
https://www.opm.gov/data/datasets/Files/494/6905e88c-a3b7-4441-81bd-eb163e9ce035.zip,18.95,FedScope Employment Cube (March 2017),[255.49 KB],[18.95 MB],Website: FedScope  Email: FedScope@opm.gov,fedscope,5/22/2020
https://www.opm.gov/data/datasets/Files/491/f763c796-2f49-4ec4-b3cf-356b618d37ce.zip,19.06,FedScope Employment Cube (December 2016),[256.4 KB],[19.06 MB],Website: FedScope  Email: FedScope@opm.gov,fedscope,5/22/2020
https://www.opm.gov/data/datasets/Files/490/ae0351fd-58d1-47d5-b1aa-2ca3bf977d30.zip,21.06,FedScope Employment Cube (September 2016),[256.29 KB],[21.06 MB],Website: FedScope  Email: FedScope@opm.gov,fedscope,6/28/2017
https://www.opm.gov/data/datasets/Files/489/13994571-5b95-4532-9faa-1e4a3bdbae19.zip,22.58,FedScope Employment Cube (June 2016),[256.11 KB],[22.58 MB],Website: FedScope  Email: FedScope@opm.gov,fedscope,6/28/2017
https://www.opm.gov/data/datasets/Files/425/fdb8db0d-ce56-4966-9572-9692e6e0fa5e.zip,22.57,FedScope Employment Cube (March 2016),[244.52 KB],[22.57 MB],Website: www.fedscope.opm.gov  Email: FedScope@opm.gov,fedscope,8/28/2016
https://www.opm.gov/data/datasets/Files/422/944a9e54-69b5-4b74-8395-4f6eca37e650.zip,22.31,FedScope Employment Cube (December 2015),[244.76 KB],[22.31 MB],Website: www.fedscope.opm.gov  Email: FedScope@opm.gov,fedscope,8/28/2016
https://www.opm.gov/data/datasets/Files/413/de1dd3f7-0c39-46ab-a1c6-848be284358b.zip,22.36,FedScope Employment Cube (September 2015),[244.75 KB],[22.36 MB],Website: www.fedscope.opm.gov  Email: FedScope@opm.gov,fedscope,8/28/2016
https://www.opm.gov/data/datasets/Files/410/c65725bf-f3de-4e7d-8d0f-3af49e527670.zip,22.34,FedScope Employment Cube (June 2015),[244.61 KB],[22.34 MB],Website: www.fedscope.opm.gov  Email: FedScope@opm.gov,fedscope,8/28/2016
https://www.opm.gov/data/datasets/Files/403/e7ee7b44-fe6d-4802-816d-6bc69082cac7.zip,0.16,Telework Data Call (2013),[105.53 KB],[160.98 KB],Website: www.telework.gov  Email: TeleworkPolicy@opm.gov,telework,9/10/2015
https://www.opm.gov/data/datasets/Files/400/69b1781a-c3d3-4e91-a463-c7c9010fa763.zip,22.14,FedScope Employment Cube (March 2015),[244.65 KB],[22.14 MB],Website: www.fedscope.opm.gov  Email: FedScope@opm.gov,fedscope,8/28/2016
https://www.opm.gov/data/datasets/Files/397/123a2080-61a4-4dd6-9715-ace27eb4709d.zip,22.16,FedScope Employment Cube (December 2014),[244.72 KB],[22.16 MB],Website: www.fedscope.opm.gov  Email: FedScope@opm.gov,fedscope,8/26/2016
https://www.opm.gov/data/datasets/Files/381/30a3741c-a24d-4f97-9a0e-e45f2ee13773.zip,21.27,FedScope Employment Cube (September 2014),[244.76 KB],[21.27 MB],Website: www.fedscope.opm.gov  Email: FedScope@opm.gov,fedscope,11/13/2019
https://www.opm.gov/data/datasets/Files/371/b3659009-9b44-408f-8f02-1a350a4095e1.zip,21.29,FedScope Employment Cube (June 2014),[244.64 KB],[21.29 MB],Website: www.fedscope.opm.gov  Email: FedScope@opm.gov,fedscope,11/13/2019
https://www.opm.gov/data/datasets/Files/347/fdef568f-a2b5-43f3-91f2-9583d781e5bf.zip,21.22,FedScope Employment Cube (March 2014),[244.63 KB],[21.22 MB],Website: www.fedscope.opm.gov  Email: FedScope@opm.gov,fedscope,11/13/2019
https://www.opm.gov/data/datasets/Files/340/feaa22b3-0653-4987-8c9e-50d4a883a410.zip,19.68,FedScope Employment Cube (December 2013),[244.68 KB],[19.68 MB],Website: www.fedscope.opm.gov  Email: FedScope@opm.gov,fedscope,11/13/2019
https://www.opm.gov/data/datasets/Files/331/499b1fa1-c354-4c96-b20c-fc18a82bacb8.zip,21.32,FedScope Employment Cube (September 2013),[244.74 KB],[21.32 MB],Website: www.fedscope.opm.gov  Email: FedScope@opm.gov,fedscope,11/13/2019
https://www.opm.gov/data/datasets/Files/324/b08a9cbd-228f-4242-857d-130b82e87084.zip,21.62,FedScope Employment Cube (June 2013),[244.65 KB],[21.63 MB],Website: www.fedscope.opm.gov  Email: FedScope@opm.gov,fedscope,11/13/2019
https://www.opm.gov/data/datasets/Files/321/7ee98c27-bff3-4e34-bda4-056b81764be0.zip,21.78,FedScope Employment Cube (March 2013),[244.63 KB],[21.78 MB],Website: www.fedscope.opm.gov  Email: FedScope@opm.gov,fedscope,11/13/2019
https://www.opm.gov/data/datasets/Files/318/4f0937d5-1f69-43aa-9749-6eb052c8f20e.zip,21.87,FedScope Employment Cube (December 2012),[244.72 KB],[21.87 MB],Website: www.fedscope.opm.gov  Email: FedScope@opm.gov,fedscope,11/13/2019
https://www.opm.gov/data/datasets/Files/253/2b43e513-cbfa-4eb5-ae9a-20e718ef1f4e.zip,22.04,FedScope Employment Cube (September 2012),[244.73 KB],[22.04 MB],Website: www.fedscope.opm.gov  Email: FedScope@opm.gov,fedscope,11/13/2019
https://www.opm.gov/data/datasets/Files/252/07cbede7-76b4-4db0-a8c5-d53d44b17d11.zip,22.07,FedScope Employment Cube (June 2012),[244.63 KB],[22.07 MB],Website: www.fedscope.opm.gov  Email: FedScope@opm.gov,fedscope,11/13/2019
https://www.opm.gov/data/datasets/Files/251/a77d0cba-1554-4ef3-b5aa-30157d8fb017.zip,21.96,FedScope Employment Cube (March 2012),[244.67 KB],[21.96 MB],Website: www.fedscope.opm.gov  Email: FedScope@opm.gov,fedscope,11/13/2019
https://www.opm.gov/data/datasets/Files/234/d0da4be0-9659-4198-be46-b18b725b078b.zip,22.03,FedScope Employment Cube (December 2011),[244.73 KB],[22.03 MB],Website: www.fedscope.opm.gov  Email: FedScope@opm.gov,fedscope,11/13/2019
https://www.opm.gov/data/datasets/Files/235/caac291b-001d-4568-a8be-96215c319fd4.zip,23.65,FedScope Employment Cube (September 2011),[244.73 KB],[23.65 MB],Website: www.fedscope.opm.gov  Email: FedScope@opm.gov,fedscope,8/26/2016
https://www.opm.gov/data/datasets/Files/238/05f11d11-b73c-4689-8037-f5077eca2ac4.zip,23.76,FedScope Employment Cube (June 2011),[244.65 KB],[23.76 MB],Website: www.fedscope.opm.gov  Email: FedScope@opm.gov,fedscope,8/26/2016
https://www.opm.gov/data/datasets/Files/241/2c0379b4-74d4-4a14-a4a5-37591d2b9c5f.zip,23.71,FedScope Employment Cube (March 2011),[244.59 KB],[23.71 MB],Website: www.fedscope.opm.gov  Email: FedScope@opm.gov,fedscope,8/28/2016
https://www.opm.gov/data/datasets/Files/169/ecf4b47c-0f1a-4f8d-9b06-b352e041eefa.zip,23.68,FedScope Employment Cube (December 2010),[244.79 KB],[23.68 MB],Website: www.fedscope.opm.gov  Email: FedScope@opm.gov,fedscope,8/26/2016
https://www.opm.gov/data/datasets/Files/172/c21d50d7-9b48-432c-a03e-96d5fb93f5fa.zip,23.66,FedScope Employment Cube (September 2010),[244.74 KB],[23.66 MB],Website: www.fedscope.opm.gov  Email: FedScope@opm.gov,fedscope,8/26/2016
https://www.opm.gov/data/datasets/Files/175/fa31ae93-1b79-4ca0-b7d1-d1d66ab4b3db.zip,23.65,FedScope Employment Cube (June 2010),[244.62 KB],[23.65 MB],Website: www.fedscope.opm.gov  Email: FedScope@opm.gov,fedscope,8/26/2016
https://www.opm.gov/data/datasets/Files/178/2a8f51c9-c0ba-4349-8c3d-055074b8794d.zip,23.27,FedScope Employment Cube (March 2010),[244.65 KB],[23.27 MB],Website: www.fedscope.opm.gov  Email: FedScope@opm.gov,fedscope,8/28/2016
https://www.opm.gov/data/datasets/Files/181/6e6d2997-5e31-48f9-8723-db439c48e3af.zip,23.02,FedScope Employment Cube (December 2009),[244.76 KB],[23.02 MB],Website: www.fedscope.opm.gov  Email: FedScope@opm.gov,fedscope,8/26/2016
https://www.opm.gov/data/datasets/Files/26/f0a8eef6-a0b5-4015-a2f4-6597f1ca3ae7.zip,22.55,FedScope Employment Cube (September 2009),[244.7 KB],[22.55 MB],Website: www.fedscope.opm.gov  Email: FedScope@opm.gov,fedscope,8/26/2016
https://www.opm.gov/data/datasets/Files/38/3653d805-eb0a-4e70-b96d-39b7c58347f0.zip,21.39,FedScope Employment Cube (September 2008),[244.78 KB],[21.39 MB],Website: www.fedscope.opm.gov  Email: FedScope@opm.gov,fedscope,8/26/2016
https://www.opm.gov/data/datasets/Files/50/7b7655fd-b4d0-4e15-9e97-33956b8aca09.zip,20.41,FedScope Employment Cube (September 2007),[244.72 KB],[20.41 MB],Website: www.fedscope.opm.gov  Email: FedScope@opm.gov,fedscope,8/26/2016
https://www.opm.gov/data/datasets/Files/53/b9945224-54e1-45e3-9780-b6b36b845b4b.zip,20.14,FedScope Employment Cube (September 2006),[244.76 KB],[20.14 MB],Website: www.fedscope.opm.gov  Email: FedScope@opm.gov,fedscope,8/26/2016
https://www.opm.gov/data/datasets/Files/56/f00a1a8f-d865-4214-8051-049f66d322be.zip,20.21,FedScope Employment Cube (September 2005),[244.75 KB],[20.21 MB],Website: www.fedscope.opm.gov  Email: FedScope@opm.gov,fedscope,8/26/2016
https://www.opm.gov/data/datasets/Files/59/b5c2a4f7-5ac5-44f7-bd3c-0f2cfb000e21.zip,20.26,FedScope Employment Cube (September 2004),[244.75 KB],[20.26 MB],Website: www.fedscope.opm.gov  Email: FedScope@opm.gov,fedscope,8/26/2016
https://www.opm.gov/data/datasets/Files/62/ecdd5c00-aeda-45ff-bd74-975714ee10a6.zip,19.05,FedScope Employment Cube (September 2003),[244.72 KB],[19.05 MB],Website: www.fedscope.opm.gov  Email: FedScope@opm.gov,fedscope,8/26/2016
https://www.opm.gov/data/datasets/Files/65/a5e33b42-51aa-41f0-8d1c-0dcde6c6ff2a.zip,18.81,FedScope Employment Cube (September 2002),[243.9 KB],[18.81 MB],Website: www.fedscope.opm.gov  Email: FedScope@opm.gov,fedscope,8/26/2016
https://www.opm.gov/data/datasets/Files/68/22fb81c4-51bb-4309-a9e5-de7fc891d299.zip,18.42,FedScope Employment Cube (September 2001),[244.74 KB],[18.42 MB],Website: www.fedscope.opm.gov  Email: FedScope@opm.gov,fedscope,8/26/2016
https://www.opm.gov/data/datasets/Files/71/f74f444b-b84b-4a75-b7d5-83726b80a320.zip,18.2,FedScope Employment Cube (September 2000),[244.75 KB],[18.2 MB],Website: www.fedscope.opm.gov  Email: FedScope@opm.gov,fedscope,8/26/2016
https://www.opm.gov/data/datasets/Files/74/70967261-28e6-4598-ad8a-69f0f6b04532.zip,18.25,FedScope Employment Cube (September 1999),[243.94 KB],[18.25 MB],Website: www.fedscope.opm.gov  Email: FedScope@opm.gov,fedscope,8/26/2016
https://www.opm.gov/data/datasets/Files/77/25455df4-0c25-49f3-a460-147b3aa596c8.zip,18.61,FedScope Employment Cube (September 1998),[244.68 KB],[18.61 MB],Website: www.fedscope.opm.gov  Email: FedScope@opm.gov,fedscope,8/26/2016
